timeindays,relpres
0,0.601653323134878
30,0.5975012794706969
61,0.594689772746774
91,0.5893555430125176
122,0.5810178032534706
153,0.5846728521755188
183,0.5801353791963033
214,0.5742711229508666
244,0.5721583573973216
275,0.5783403399671755
306,0.5728517900662087
335,0.567239094679864
366,0.5616687914776471
396,0.5567590212751268
427,0.5530861740201276
457,0.5501517688229501
488,0.5449894328439707
519,0.5436124699847453
549,0.5409053974676126
580,0.5363512988740223
610,0.5275702027110841
641,0.5277053333887984
672,0.517535480861715
700,0.5057140693905097
731,0.485647698589331
761,0.465509090760425
792,0.44239072618001846
822,0.4190235567982947
853,0.4039787701085004
884,0.3958727792150514
914,0.3796650793526106
945,0.37296630083465165
975,0.3664815520386424
1006,0.3601804151386174
1037,0.35481055375610887
1065,0.34916341432140846
1096,0.3430869202317061
1126,0.335901100191562
1157,0.32569581068928843
1187,0.3176211498445419
1218,0.3083264339339752
1249,0.3068573667795924
1279,0.30042042749263237
1310,0.29880172991859505
1340,0.2962978622156222
1371,0.2936299504989533
1402,0.2934681809326376
1430,0.288297239728459
1461,0.2847267246467041
1491,0.2832677884339841
1522,0.27653973559349093
1552,0.27104391585059884
1583,0.27046413441222084
1614,0.26993751885787515
1644,0.26735930559945986
1675,0.2737130473999174
1705,0.27135756216505164
1736,0.26830590107109803
1767,0.2670908507838766
1796,0.27020224327498654
1827,0.2726774723175924
1857,0.26992597121118367
1888,0.2653351776955214
1918,0.26242027751990227
1949,0.2604315612007457
1980,0.2594441523279926
2010,0.25934312376380175
2041,0.2625139842239849
2071,0.2658388206914826
2102,0.26530127017238003
2133,0.2623241673101548
2161,0.2653664549628458
2192,0.27010783501158986
2222,0.270682514314874
2253,0.2663908014533409
2283,0.2620129086611188
2314,0.25746594745883533
2345,0.2603052142634178
2375,0.2629021338046815
2406,0.26379201107832034
2436,0.2643254502095732
2467,0.2652801762911261
2498,0.26705651834321487
2526,0.2686484075926501
2557,0.2700961622901116
2587,0.27064685235319136
2618,0.2681710574645218
2648,0.26502912900197095
2679,0.25824108484533786
2710,0.257933778630136
2740,0.25987799536719425
2771,0.2650676594889586
2801,0.2700804052528827
2832,0.2705586838767174
2863,0.27681119824840994
2891,0.2726124556807637
2922,0.27140377513954866
2952,0.26793253244496545
2983,0.2651083735386605
3013,0.26209218975601467
3044,0.2587206091090412
3075,0.26267089681108396
3105,0.26030309405879765
3136,0.2681620173104881
3166,0.2734631319309699
